Content,Video title,Video publish time,Comments added,Average percentage viewed (%),Likes,Views,Impressions,Impressions click-through rate (%)
Wn9L1MD_y0Y,How To Send WhatsApp Messages From Excel Using VBA (Free & Easy) 📲,19-Dec-20,885,26.36,3057,265002,2152704,6.71
svcv8uub0D0,How to Create an Excel Data Entry Form in 10 Minutes Using Python (No VBA) | Easy & Simple,22-May-21,207,28.48,3112,99259,1069755,5.7
Sb0A9i6d320,Turn An Excel Sheet Into An Interactive Dashboard Using Python (Streamlit),11-Sep-21,192,13.14,10175,442044,11550064,2.79
VwzaNjpcEZ0,Send BULK SMS From Your OWN Number Using EXCEL [Free Template],10-Jul-21,158,27.57,537,50270,341500,9.04
nJHrSvYxzjE,Deploy Your Streamlit Web App on Heroku For Free (fast & easy),20-Mar-21,114,32.44,966,30941,308074,5.22
VqgUkExPvLY,Build a Website in only 12 minutes using Python & Streamlit,1-Jan-22,105,23.56,1897,59870,656636,5.8
7zeAIEPJaoQ,Turn Your Excel File Into A Web App With Python (fast & easy) | Streamlit Tutorial,14-Mar-21,77,18.49,2398,88223,931710,5.89
JoFGrSRj4X4,How to Add a User Authentication Service (Login Form) in Streamlit,26-May-22,66,36.84,392,10576,130571,4.29
T3meVMaV8AA,Automating Word Documents from Excel Using Python | ‘docxtpl’ Tutorial,1-May-21,66,22.52,745,34943,280059,6.65
xE95tIzCuKM,Turn Your Excel Data Into An Interactive Dashboard Using Python | Pyecharts Tutorial,27-Mar-22,64,18.92,896,24612,541894,2.23
fziZXbeaegc,Create a Data Entry Form for MS Word in 10 Minutes using Python | PySimpleGUI & docxtpl Tutorial,5-Feb-22,62,27.77,421,9668,135605,3.92
MgL9IOCFZ0U,How To Execute A Python Script From Excel Using VBA | Step-by-Step Tutorial [EASY],27-Jul-20,59,39.86,883,42471,423175,5.74
HZU2OtDa2eI,📈 How To Get Stock Data In Excel By Using VBA | Step-by-Step Tutorial,5-Jul-20,58,19.94,304,23304,132069,8.01
i_HgBaL_xjE,How To Send Bulk SMS From Excel With TWILIO + VBA [Free Template],29-May-21,58,29.04,164,9781,109600,5.02
NWD2LSSuyjE,Split Excel Data into Multiple Files by Column Values using Python (fast & easy),15-May-21,54,28.7,237,10331,103126,5.41
Zy9sx4GvjUY,Generate MS Word documents in bulk based on an Excel list using Python,19-Feb-22,53,33.11,238,6382,87552,3.71
oyEMi8sDVOM,Download All Messages & Attachments From Outlook Using Python,19-Mar-22,53,38.24,364,12532,117935,5.13
v49tYBmnnFg,How To Send SMS Messages From Excel With VBA | Step-by-Step Tutorial 💬,21-Nov-20,53,27.42,362,35044,259872,8.71
PmJ9rkKGqrI,FREE Excel Add-in to Boost Your Productivity,6-Aug-21,49,23.86,294,7972,83453,4.16
Q4RYQv_5oX0,Send Bulk Emails From Your Gmail Account Using Excel VBA (with Attachments) | FREE TEMPLATE 😎,24-Jul-21,46,27.48,135,6397,66639,5.77
hEPoto5xp3k,The EASIEST way to insert a NAVIGATION into your Streamlit app,12-Mar-22,46,41.37,538,15711,148402,5.82
i62VbGSI93A,How to Export WhatsApp Chat History to Excel using Python 📲 (fast & easy) | Android and iOS,16-Jan-21,46,27.52,271,20518,149428,8.7
3egaMfE9388,Build A Streamlit Web App From Scratch (incl. NoSQL Database + interactive Sankey chart) 🚀,26-Jun-22,42,13.86,468,12591,211262,3.82
daeMTChs-r4,How To Automate Excel Using Python | Combine Files & Create Charts 🤓,30-Nov-20,41,29.69,1377,56273,816995,4.77
ZI9T2O7XYxY,Solve Real-World Data Science Tasks in Python | Data Analysis with Pandas & Plotly (Full Tutorial),31-Jan-21,40,14.59,414,12911,133624,5.22
eCbH2nPL9sU,How to Add a User Authentication Service (Login Form) in Streamlit + Database,14-Jun-22,35,23.53,203,6365,89916,4.17
RGR048I5ZDE,Create and Distribute Excel Files using Python and Outlook | Automate Excel with Python,6-Nov-21,34,33.19,270,6170,89369,3.71
4CrZUJtjZkc,How To Easily Insert Python Charts Into Excel,24-Oct-21,33,23.72,438,15027,154981,6.22
TYTPThKKHOQ,4 Pandas Functions That I Wish I Knew Earlier,2-Oct-21,33,53.11,360,4129,50386,4.89
JoonRjMsSdY,"Automate Excel Reporting Using Python (Real-Life-Example) | Pandas, Plotly, Xlwings Tutorial",9-Oct-21,32,21.77,414,14713,166003,5.75
YClmpnpszq8,How to create a Streamlit Multi-Page Web App,24-Jul-22,32,35.21,246,9704,101726,6.29
qyy7xUnK5lg,How To Execute An Excel VBA Macro From Python,21-Aug-21,32,42.3,261,14967,72448,7.14
LzCfNanQ_9c,Create an advanced GUI app with PySimpleGUI (Full Tutorial),17-Jul-22,31,12.62,424,12537,164553,4.69
rmcmQjgFu9I,Send WhatsApp Messages From Excel With VBA Using Twilio | Step-by-Step Tutorial 💬,8-Nov-20,31,21.06,119,13026,99896,5.3
DroafWQXqDw,Export Pandas DataFrames to new & existing Excel workbook,29-Jan-22,30,38.72,231,11057,89409,7.4
_H5hsUwv8lE,Make a GUI with just ONE LINE of code using Python,10-Apr-22,30,21.32,311,7158,101762,4.7
AHS925L8JVk,Replace Excel Vlookup in Python Using Pandas (fast & easy) | Pandas Merge Tutorial,27-Feb-21,28,40.09,345,13245,115902,7.77
Uyw9fjDKYQY,Find & Replace Values in Multiple Excel Files using Python (fast & easy),15-Jan-22,28,37.62,178,4685,64459,3.44
D7dEQ9LI-8A,Compare Two Excel Sheets with Different Number of Rows and Find Differences using Python,3-Apr-22,27,26.71,385,15348,178023,4.06
tbzPcKRZlHg,Send Daily Push Notifications to Your Phone Using Python | Build A New Year's Resolution BOT (fast),1-Jan-21,26,30.74,512,26379,146417,9.29
BWbPgVmh-bk,How To Create An Interactive Gantt Diagram In Python Using Plotly & Excel | Step-by-Step Tutorial,25-Jul-20,25,22.55,258,15731,88590,6.33
OLrC4J2-pvk,Automate Emails Using Python! Build An Automatic Payment Reminder & Schedule Your Scripts Online,21-Aug-22,24,17.22,235,4800,104308,2.9
