order_id,product_id,store_id,product_name,product_category,city,date_of_sale,quantity_sold,sales_amount
1,52,1,CodeComet,Software Development Tools,Tokyo,1/1/2022,8,303.29
2,83,3,SyntaxScribe,Software Development Tools,Yokohama,1/1/2022,8,173.53
3,24,3,CodeCanvas,Software Development Tools,Yokohama,1/2/2022,6,37.72
4,88,2,VarVista Pro,Educational Tools,Osaka,1/2/2022,6,10.47
5,60,1,LoopLantern,Creative & Design Tools,Tokyo,1/3/2022,1,159.1
6,22,1,EchoEngine,Technology & Gadgets,Tokyo,1/3/2022,9,152.73
7,59,3,AlgoAurora,Creative & Design Tools,Yokohama,1/4/2022,3,197.41
8,64,1,LogicLark,Software Development Tools,Tokyo,1/4/2022,3,431.26
9,4,1,ByteBreeze,Creative & Design Tools,Tokyo,1/5/2022,2,198.86
10,7,1,LogicLoom,Software Development Tools,Tokyo,1/5/2022,9,41.95
11,60,3,LoopLantern,Creative & Design Tools,Yokohama,1/6/2022,8,26.93
12,90,1,ModuleMagic,Technology & Gadgets,Tokyo,1/6/2022,2,345.21
13,78,1,AlgoAir,Technology & Gadgets,Tokyo,1/7/2022,4,99.34
14,4,2,ByteBreeze,Creative & Design Tools,Osaka,1/7/2022,6,111.93
15,34,2,LoopLuxe,Creative & Design Tools,Osaka,1/8/2022,4,302.92
16,4,2,ByteBreeze,Creative & Design Tools,Osaka,1/8/2022,2,389.73
17,62,1,MethodMingle Pro,Educational Tools,Tokyo,1/9/2022,2,274.42
18,48,3,DataDynamo,Data Analysis & Management,Yokohama,1/9/2022,8,289.48
19,24,2,CodeCanvas,Software Development Tools,Osaka,1/10/2022,9,147.68
20,41,1,CodeCraft,Software Development Tools,Tokyo,1/10/2022,1,17.75
21,9,1,DevDive,Software Development Tools,Tokyo,1/11/2022,8,12.79
22,11,3,FunctionFusion,Software Development Tools,Yokohama,1/11/2022,1,358.48
23,41,3,CodeCraft,Software Development Tools,Yokohama,1/12/2022,9,315.36
24,35,1,StringStream,Software Development Tools,Tokyo,1/12/2022,5,463.76
25,34,1,LoopLuxe,Creative & Design Tools,Tokyo,1/13/2022,7,162.4
26,88,1,VarVista Pro,Educational Tools,Tokyo,1/13/2022,3,299.69
27,86,3,CodeCatalyst,Software Development Tools,Yokohama,1/14/2022,3,241.37
28,47,2,PixelPulse Pro,Creative & Design Tools,Osaka,1/14/2022,3,382.7
29,90,3,ModuleMagic,Technology & Gadgets,Yokohama,1/15/2022,7,29.89
30,79,3,ClassCruise,Educational Tools,Yokohama,1/15/2022,3,25.48
31,52,1,CodeComet,Software Development Tools,Tokyo,1/16/2022,4,454.59
32,23,3,BinaryBloom,Creative & Design Tools,Yokohama,1/16/2022,4,471.87
33,71,3,StringStar,Software Development Tools,Yokohama,1/17/2022,3,89.05
34,66,2,ModuleMuse Pro,Creative & Design Tools,Osaka,1/17/2022,9,61.76
35,28,2,FunctionFleet,Software Development Tools,Osaka,1/18/2022,7,448.97
36,62,1,MethodMingle Pro,Educational Tools,Tokyo,1/18/2022,1,121.73
37,3,3,AlgoCraft,Creative & Design Tools,Yokohama,1/19/2022,6,260.24
38,62,1,MethodMingle Pro,Educational Tools,Tokyo,1/19/2022,4,182.77
39,44,3,SyntaxStar,Software Development Tools,Yokohama,1/20/2022,6,117.23
40,9,2,DevDive,Software Development Tools,Osaka,1/20/2022,5,349.22
41,88,1,VarVista Pro,Educational Tools,Tokyo,1/21/2022,4,188.18
42,58,2,DevDynamo,Software Development Tools,Osaka,1/21/2022,7,253.63
43,56,1,LambdaLyric,Educational Tools,Tokyo,1/22/2022,1,488.41
44,92,2,EchoElite Pro,Technology & Gadgets,Osaka,1/22/2022,7,146.56
45,97,1,AlgoAria Pro,Technology & Gadgets,Tokyo,1/23/2022,3,343.48
46,53,2,BinaryBlaze,Technology & Gadgets,Osaka,1/23/2022,6,128.64
47,68,3,FunctionFusion Pro,Software Development Tools,Yokohama,1/24/2022,8,126.48
48,38,1,CircuitCruise,Technology & Gadgets,Tokyo,1/24/2022,4,491.74
49,59,2,AlgoAurora,Creative & Design Tools,Osaka,1/25/2022,3,299.49
50,86,3,CodeCatalyst,Software Development Tools,Yokohama,1/25/2022,1,83.91
51,59,3,AlgoAurora,Creative & Design Tools,Yokohama,1/26/2022,3,406.56
52,20,3,VarVoyage,Educational Tools,Yokohama,1/26/2022,4,470.73
53,11,1,FunctionFusion,Software Development Tools,Tokyo,1/27/2022,9,112.49
54,40,3,LambdaLark,Educational Tools,Yokohama,1/27/2022,2,420.38
55,31,2,BitBliss,Creative & Design Tools,Osaka,1/28/2022,3,122.03
56,16,2,StringScribe,Software Development Tools,Osaka,1/28/2022,9,263.12
57,2,1,ScriptSprint,Software Development Tools,Tokyo,1/29/2022,5,451.09
58,9,1,DevDive,Software Development Tools,Tokyo,1/29/2022,3,353.1
59,80,3,FlowFleet,Technology & Gadgets,Yokohama,1/30/2022,4,444.56
60,33,3,BinaryBard,Software Development Tools,Yokohama,1/30/2022,1,89.25
61,89,3,StringStream Pro,Software Development Tools,Yokohama,1/31/2022,9,12.57
62,38,2,CircuitCruise,Technology & Gadgets,Osaka,1/31/2022,3,192.42
63,61,1,ScriptSage,Software Development Tools,Tokyo,2/1/2022,4,358.89
64,82,2,LoopLyric,Creative & Design Tools,Osaka,2/1/2022,6,229.71
65,8,3,FlowForge,Technology & Gadgets,Yokohama,2/2/2022,3,332.17
66,33,2,BinaryBard,Software Development Tools,Osaka,2/2/2022,5,97.67
67,33,3,BinaryBard,Software Development Tools,Yokohama,2/3/2022,3,321.75
68,22,2,EchoEngine,Technology & Gadgets,Osaka,2/3/2022,6,489.52
69,51,2,FlowFusion,Technology & Gadgets,Osaka,2/4/2022,8,319.2
70,98,1,CodeCruise Plus,Software Development Tools,Tokyo,2/4/2022,1,292.64
71,64,1,LogicLark,Software Development Tools,Tokyo,2/5/2022,5,122.83
72,48,3,DataDynamo,Data Analysis & Management,Yokohama,2/5/2022,4,22
73,37,1,DataDream,Data Analysis & Management,Tokyo,2/6/2022,1,280.82
74,49,1,StringSage,Software Development Tools,Tokyo,2/6/2022,5,442.8
75,85,3,CircuitCraft,Creative & Design Tools,Yokohama,2/7/2022,1,165.31
76,95,3,LambdaLegend,Educational Tools,Yokohama,2/7/2022,1,46.99
77,46,2,AlgoAtlas,Data Analysis & Management,Osaka,2/8/2022,6,185.74
